UUID;Word;Description;
c6b04ee4-0f37-41e3-ba12-40c27356892f;Morning;Lemon;
caf96a02-2c59-49a6-ab87-61318584d989;Apple;Kiwi;
c9ef21c9-d9cc-42fb-986e-60945d52e9ed;Morning;Night;
25a1f57e-04d5-4b08-b918-7b494f46d434;Evening;Lemon;
7268afe0-5640-4c10-95ae-6b517bcd68a9;Evening;Banana;
a2742876-3736-4809-9d7f-66e3bfd11d5c;Tree;Evening;
d62b115a-2f4e-451c-82c2-a9fcab67d619;Lemon;Banana;
c48ed77d-c46b-49b8-9a96-7ce716f84fad;Lemon;Grape;
03a5af26-3f29-402b-9925-6e23824ce60f;Tree;Night;
cd54888c-43f4-45e2-8a0a-795a00c41c52;Honeydew;Banana;
08f9863c-b0a4-49e4-8958-e54475a3208f;Banana;Tree;
ea1f067e-7f2e-49bf-a1b9-aacf5c3c4784;Grape;Tree;
fa5bcc2a-fc20-465c-bd84-72764c8907c9;Kiwi;Lemon;
2c7e6e77-0305-4805-9cbb-581df19d4b80;Honeydew;Evening;
fd3eb836-bd21-4a8a-9ecb-ccf140e336ef;Kiwi;Apple;
e8d98855-e3cc-4b03-a859-01d0cd6ed8c5;Honeydew;Grape;
7221c6d6-3471-4d35-94f8-a87f1c83a880;Tree;Afternoon;
486e89b7-8c53-458c-9480-fb735a2b37a5;Honeydew;Evening;
ec131d91-fc1c-4c6d-b458-72c70d2b4583;Afternoon;Evening;
dea78c1e-a0b7-48dc-96e3-5d1a4a24acf4;Morning;Evening;
604b7fab-d6b4-4a60-8f89-84a01024685f;Banana;Night;
0505f27a-a1d1-4024-97b5-8ceef6745012;Night;Afternoon;
b9a555ab-54a5-4404-aa13-b474f5e30dad;Afternoon;Night;
33e929e9-9e5a-48a1-a629-0d1666c48c99;Grape;Apple;
61371a51-8928-4b6e-8ab9-29a87b253ec6;Apple;Night;
e4044cbd-75fb-4613-8b3f-8a6eaa768f94;Lemon;Honeydew;
5f77ac29-1bf7-46dd-9123-fe995e86a162;Kiwi;Lemon;
1946953b-77f6-4745-af93-dd4256ca26be;Evening;Kiwi;
cb99fe12-3776-4d28-a3a1-f1b512e8d4b3;Night;Afternoon;
7c5ceb85-a2bb-4c3a-80c4-6c5c2baf8a6d;Lemon;Grape;
fb39d882-a8ec-40dc-8ff2-2bf1411deed9;Tree;Afternoon;
7c395b43-6131-4f04-895d-1f99d30774a9;Honeydew;Honeydew;
cef30811-86df-4b3b-8ae4-06e77ba3a7e2;Lemon;Evening;
4c1aa02e-d5a0-4def-9bd4-13d037f67cac;Kiwi;Grape;
f54ead2e-e1aa-4735-a4fc-8fb0c10fbc6d;Afternoon;Tree;
04df1165-70aa-48ca-9efa-104ed5a9fe18;Lemon;Apple;
b77a0e1c-e39e-4453-b63e-e088f4e25165;Apple;Kiwi;
eb296874-50ed-439d-8a27-444ca1917b04;Grape;Lemon;
4618969c-4246-450c-b50f-7ce785c09fac;Kiwi;Lemon;
427cfd86-824e-4aa0-a9f2-979bd836bc5a;Apple;Banana;
c4366897-fbce-48ea-a5ef-b0ce0dd319a8;Banana;Apple;
a56ee997-cd54-431e-8b7b-b9aa30730c17;Honeydew;Afternoon;
9c7a5b0f-bc3b-4332-b40e-776702404e3d;Apple;Kiwi;
7894fed1-d65d-41ac-9a2b-00078e870b7e;Apple;Tree;
85e8ba76-50eb-44c6-910a-a890c8ca5a5c;Grape;Night;
9d704402-d818-429f-98da-917ed926fb83;Afternoon;Grape;
88d91259-7611-4617-84c2-2d6b8acb3a86;Tree;Afternoon;
3c24e230-372c-4299-9f74-239331f8c869;Night;Banana;
70d22ec6-1486-416d-aa21-c2f85d56733f;Evening;Evening;
f60f6009-5cd1-4ebe-98ce-242645e2211c;Grape;Lemon;
191f71eb-e7aa-44a4-b512-df6acf89a09f;Afternoon;Tree;
156bc661-05e4-4876-8a96-d4b7efbca9c4;Morning;Banana;
334ccc0e-43c5-43df-9458-407ca60c1bb9;Lemon;Apple;
1277920e-9857-46d4-a50b-b1ffba27f62c;Afternoon;Lemon;
25ab1d2d-2829-47b9-9c3d-489be2759069;Tree;Lemon;
60f13a57-2bfe-4aac-b85b-bff49c718a4b;Apple;Morning;
4f670e99-7e6b-4e6d-828d-64cdce48c41a;Night;Tree;
cd6cf968-89ea-4640-a6f4-3d14cd0721f9;Tree;Evening;
264ab147-ccbf-40b5-b966-3d07c84c7b8b;Lemon;Morning;
4eb6c48a-0c8a-44bb-90f6-40e9d026034e;Kiwi;Afternoon;
f215486c-0946-4ab9-9614-7f08d53346db;Banana;Apple;
05a1601b-e198-423b-87a0-4ef7893a7a9f;Honeydew;Honeydew;
85c8f801-9b11-416a-ac43-76136e8a20e2;Apple;Afternoon;
a5937119-eeeb-47d9-94a3-06059fc08f40;Grape;Honeydew;
1eeea34b-2a62-4ac6-9991-af8c7679525e;Night;Apple;
150e90ac-0a2f-4322-bd1e-945a91d053d3;Night;Lemon;
39e5ba07-4800-4e1c-b279-a8a7112e4138;Evening;Honeydew;
fc2a145d-714d-490c-9313-3b250b218824;Honeydew;Lemon;
9a93187b-2e0f-4f33-b122-7affd6cb3dd3;Kiwi;Tree;
26b69c79-bd6a-4c6b-ab73-2ac308ffe633;Grape;Lemon;
92c1510e-61f6-4f60-b72d-0a91843f4567;Evening;Tree;
ef2cc22b-76b6-418e-8dab-29d32b8734e8;Banana;Afternoon;
35987d64-318b-41af-8cab-dab330bdaa27;Apple;Tree;
fc71aca8-d4a2-4a4d-b076-8d4801a7bbb9;Night;Morning;
d1ae0753-afb5-4f80-b3fb-9e699a7b40af;Morning;Banana;
6503ab03-51b9-42ff-83b8-ba33830bdb4b;Banana;Afternoon;
80d37bcf-87fc-4789-9cb8-f14a603372cc;Evening;Kiwi;
d6f10e13-c569-4e05-ab83-00c8af5b601d;Afternoon;Night;
fe7c5b2d-e62d-43be-b1ae-c05ed5cb2681;Night;Apple;
cc5f6ea5-1b29-45bb-962c-6d889eb31e89;Honeydew;Tree;
cc3b57a8-eee5-4e59-8271-8f27fcde2e7e;Evening;Banana;
bc0026b0-1bcb-487b-9e3a-4df9fca8344e;Honeydew;Evening;
1b2425fa-3c1d-41aa-b81a-b1ccba5f7446;Night;Evening;
c0e7a3c9-fa2d-498a-8f46-ddece1fda601;Tree;Afternoon;
2939382b-44fa-4070-bbe5-e4c85f222a29;Grape;Kiwi;
f7417cb2-0a28-4508-bd71-0af870499f63;Tree;Lemon;
4ef9d457-6a05-457d-a0d0-1ce6b7d8e13e;Grape;Evening;
cc9cf0ee-3d12-42de-9d5f-4a5ce9c48ce2;Afternoon;Night;
9c40b27c-9c43-43e1-8215-144b9d75fd38;Grape;Kiwi;
38a0a2c5-c1e1-437e-9490-31ebb60b06f1;Kiwi;Apple;
84cd1991-4556-42f9-8756-70bd47075ce9;Tree;Morning;
084e2aa1-8dc9-4cf6-9c13-c1b9311bfc02;Lemon;Honeydew;
e43b85b1-4d3b-4d84-9e40-9bc94b2bd9a2;Evening;Honeydew;
5f6385f3-9499-49d8-8dde-42e3ac2281c8;Tree;Evening;
e9ccc484-8d5e-444d-bb0a-7a5fa19a0e8c;Evening;Morning;
272e442a-b54d-48a1-b7aa-0a2237125abf;Kiwi;Tree;
bf7f8543-59d8-44f8-a11a-8a85f68f8553;Lemon;Tree;
c84d5702-42bc-40e0-9426-8feefda17296;Morning;Night;
1fe8b2f4-ad21-4930-b9e8-45ddf049faa7;Lemon;Apple;
ca01c8d8-4d29-41eb-9ba8-f46d5312906d;Night;Honeydew;
1346f3a7-4a10-4acf-b450-7455b7543edf;Afternoon;Night;
134ad693-183d-447e-a5cd-6a8f02738bdd;Kiwi;Grape;
e652d610-30c1-4da4-b1f5-4e06821aa1bd;Morning;Kiwi;
82221301-9940-44dc-9339-e53c120ef816;Honeydew;Tree;
af8c24fa-3d75-40ed-bf4c-284a9c262b0a;Honeydew;Night;
abdc68fd-0188-44f4-9031-2813700cdc7e;Banana;Afternoon;
00aa8c93-e844-49b1-bd77-216173a9d251;Kiwi;Tree;
66203eb8-e15b-4dea-8828-27f4220d2072;Lemon;Morning;
c018ffab-4702-4557-abc5-71d1088c2923;Night;Kiwi;
33e02caa-a061-46ab-bb2b-6ae7e532b466;Evening;Tree;
5f5d8045-e5fe-4d73-93a2-3e0678b88abb;Honeydew;Tree;
51b83bbe-b2e5-4e92-b663-5c53f531e72c;Afternoon;Afternoon;
9e191613-65ea-40cf-93b0-489ed09f27aa;Night;Apple;
ba554706-fe5a-4dd7-958b-73f6cdce82b2;Grape;Apple;
6e40b5b1-68c0-4a2f-a61c-c2ddfda28b3c;Apple;Grape;
251290cf-11d8-427f-a99c-9049eeebc1ce;Afternoon;Honeydew;
a2fec71e-140d-427a-92d2-2ff03dc5f98d;Tree;Tree;
55d343a8-85b8-42ad-a7bc-afc8b76eee5a;Lemon;Afternoon;
808356df-bd40-4a4e-952f-b643e6444144;Tree;Banana;
2b1c543e-c70c-4882-b2db-87217c10b186;Lemon;Lemon;
9f2beaeb-024e-44ab-be3d-2e6759313a96;Kiwi;Apple;
8ff3489f-9a12-4dbd-8eef-d0609d56dcfa;Apple;Evening;
ea088cae-032c-40e3-b0e4-fd8b3730806e;Night;Banana;
ef4d0d4f-d40d-4a14-b1a1-7ee7d911d1c7;Night;Lemon;
86a27bdd-7b65-4d84-a27c-4dc09c5cd76f;Grape;Apple;
a46c5d8c-62ff-4738-91d6-cb404354e489;Banana;Kiwi;
96bf49f5-3a6e-46fd-8f7a-b6e24cd17df5;Morning;Night;
27be8386-de34-40de-aafb-705780aede58;Lemon;Tree;
9b22746a-8a38-4b4a-9219-c35c385751e4;Evening;Banana;
cf88e829-a73a-495c-b3d9-e614cfe17b64;Afternoon;Banana;
6a4678e1-d54b-4a2d-9bcf-477e4d8c7f2b;Afternoon;Tree;
d207e980-d9e7-4510-b304-d27db86e9201;Kiwi;Apple;
fdd093f2-f4b0-4e5b-947f-f9a7c461f45d;Evening;Night;
8fc0dbe3-8535-48ec-aa5d-319ad1540f53;Lemon;Honeydew;
ad6c2bac-8515-4230-a868-b9349a2e3262;Evening;Lemon;
a4f51da1-b8a4-43dd-8c9d-f1a0d202bae3;Tree;Kiwi;
de53a1bd-9add-4949-9a16-efbdca0de15b;Apple;Banana;
efa45e28-465c-49a0-a687-c389d5b39dae;Grape;Apple;
3fac0049-aa06-49ee-8034-0feb6768f207;Lemon;Tree;
6981d8a5-4cb0-47d1-ae16-f67331979fff;Tree;Grape;
24522b03-3e17-4801-894a-30c68b128d96;Morning;Grape;
c1313189-bf97-4235-8cc6-345367403c60;Kiwi;Grape;
6283f63b-8dd5-4d4e-940b-da0a2a33c9bd;Night;Night;
9bab9cbb-6341-4339-8029-14115b56d86c;Tree;Morning;
c5b3dc07-8a29-4f16-b387-ed2fa12fb9b8;Kiwi;Morning;
1b54ebee-d71e-43b0-8178-f15f97545369;Kiwi;Apple;
b3a27823-374c-4e4f-b4ca-3aa5ae459e08;Grape;Night;
d8c5ce49-e33f-4d17-a257-8f5430607ecb;Night;Honeydew;
75ef0836-7f4d-4b75-b597-cff8ce694eb7;Apple;Kiwi;
d4eb9cb2-1277-4c6f-8f57-6118a25d112a;Evening;Grape;
151e8dc8-ba67-43ca-b27f-65042e42184d;Grape;Lemon;
6bba2752-f642-4b0f-964d-04b903918306;Apple;Grape;
11abf60a-deb5-4c54-ac71-e32b59380501;Apple;Kiwi;
d844c5e4-f24d-4db1-a9be-6949a4196f8c;Morning;Apple;
65518a3f-1888-471e-803e-8365592e0d9c;Kiwi;Night;
6eeeb666-1739-4369-a0bd-951c9b8fdbed;Kiwi;Lemon;
c56de6ac-e4af-48ed-90e1-8de1b6154d05;Night;Evening;
1de30606-1b55-4829-897b-3f11a2ba501d;Apple;Apple;
9482a847-7fa1-42c6-b54b-a1ac12f30ec7;Afternoon;Afternoon;
1c4aced4-1217-4521-afeb-b048930820a5;Afternoon;Morning;
454a4602-c0c0-43b7-82d7-c6e166f32136;Evening;Banana;
eeb74dab-60ee-4c22-97bc-b860d5a0aaaf;Tree;Tree;
6207c85b-3adf-4867-b18b-417b5497eecf;Apple;Afternoon;
e1be43c4-eb1b-4473-9a75-84ed443a2f11;Morning;Banana;
f2664500-89d9-4563-abe9-f60afc143ba5;Honeydew;Lemon;
c2acda1d-1399-42ad-b96e-32a95301dffc;Apple;Afternoon;
9f978ae5-e74c-4a9c-9eb1-87a4ae6a0bb6;Morning;Evening;
9b1b0fe7-bd8d-4ea4-9e0d-4179a79ddff2;Night;Evening;
8edeb8e1-c120-4b5a-b0c8-315580b6466c;Tree;Morning;
9011384c-6754-46b6-8d81-886530599884;Lemon;Night;
db1860b6-6b0d-4edb-84c2-52a08734b41f;Honeydew;Kiwi;
fba4e5db-cbac-47cf-a001-c7d422476bfb;Tree;Lemon;
53bc430a-a190-4b1f-bcad-ecf05d0db1d7;Morning;Morning;
1923b346-851a-42e2-8e85-dcaecc640444;Afternoon;Kiwi;
aa7a16b9-723f-444a-8341-eb761ae9e021;Afternoon;Tree;
2524aa25-243f-40b1-81af-0586bd10239f;Afternoon;Honeydew;
73e2127e-1cae-4447-bac4-f3fe9a747605;Evening;Evening;
c6b2e321-2c9f-4838-86b3-081c1db10d5e;Grape;Afternoon;
1849e6c8-4fbd-4604-b115-875dd5571e22;Honeydew;Evening;
5764f13b-5620-4817-bbdc-033931988b46;Afternoon;Lemon;
0383f21c-a978-408a-917a-9d2a8a3652ca;Honeydew;Grape;
819140f6-1d35-43cf-a3b0-ecb875732cd3;Tree;Kiwi;
440c9614-5793-4ce4-9e38-a7f28118b057;Afternoon;Tree;
324a682d-3f35-4918-b4dd-25695cb920be;Banana;Honeydew;
eb4089d1-95f6-4614-8a62-881d85f8650d;Grape;Honeydew;
03733fd3-e4cc-4f75-b41f-c7b23aa9eee4;Apple;Banana;
b140b9de-6311-46c4-851b-cbb74fe88fe0;Night;Lemon;
d34dacea-08d9-46af-9433-0a94bfb34df2;Banana;Tree;
a12b5422-48d3-494f-a685-bc1e60f1ee97;Morning;Night;
953d8b59-997a-4bcb-998d-e902d4736288;Grape;Morning;
8705f72f-be1c-425a-830e-32d5901adfad;Afternoon;Grape;
47bc9744-1742-4471-81df-5d9e0c308d51;Afternoon;Kiwi;
0ceda7c5-876a-4fa5-8ecb-88451fc88185;Night;Banana;
44b59f3a-ca38-4b98-b250-0d8f8cd330c7;Evening;Lemon;
07f0fe0d-0f75-4885-ac49-411bdae7f14d;Banana;Banana;
b53e1a51-f7ff-48ae-b549-a49ac0d83d81;Night;Kiwi;
7b9ea606-5d8c-4911-835a-a8e059a69642;Morning;Apple;
5e3f3e94-789b-4d5e-a08b-2d691a6b99cb;Kiwi;Night;
26f90f79-56a9-47fe-833c-70a0e7fc2d2a;Evening;Lemon;
026ff425-1476-44d4-acd9-82a1e18359f0;Kiwi;Evening;
a9a798d3-4639-46d9-9233-446882cf91b6;Morning;Lemon;
69dbcd27-fd2c-41b1-83df-8f78cc343003;Lemon;Grape;
11567f7a-0808-4b61-a2ba-ff0b4cdd46c2;Lemon;Lemon;
fb6a1536-fd27-4a6d-8b7e-a1b157986675;Lemon;Lemon;
decea769-77ad-4a87-9408-90ea8bfa73f9;Tree;Tree;
c0d1d160-7157-4ed4-836c-2214fc277c49;Morning;Tree;
47a1e310-fd83-450e-8bfd-98b2f041edc6;Honeydew;Night;
96b2afbb-dfd8-4e85-94d2-6184d36b7c79;Banana;Banana;
95896fed-631e-4ad3-81f0-da8d5f398f00;Kiwi;Morning;
73f7b088-ffe6-4490-b11f-0de333f4b99b;Morning;Tree;
cacb8577-3932-4b57-b002-4e8f8ec772f6;Grape;Grape;
781b17b1-0ed5-4d65-aaef-b9e34f51838c;Afternoon;Morning;
1725d0e0-d057-48a5-94ea-0d2344e9c4c5;Morning;Tree;
4fc18d11-d4da-4d21-8707-56bcd7e92161;Kiwi;Honeydew;
8d870215-2fe8-452b-962a-4c55e03a8e57;Afternoon;Banana;
6f9dfc2b-b93c-4e8e-ac77-2bc4883ab967;Afternoon;Lemon;
dfd8b5ae-07c6-4027-9a71-e3b76b7d76ff;Grape;Night;
6b0f98fa-c67c-4c9a-b815-e826f4661841;Grape;Afternoon;
dfd330ca-7d74-4562-b7af-44dc52be1352;Lemon;Banana;
32718ebb-330f-4b8f-8f7e-99783cbc2a0f;Banana;Morning;
98eb8f2d-0119-4dac-aa97-e1e8fd6815db;Tree;Kiwi;
f64e5f2d-421d-413f-a13d-528cbaa335a1;Honeydew;Tree;
53777794-4bfd-4692-82b8-64a946b394ce;Banana;Evening;
b90390f7-f655-4932-9d5f-ee0eeabd3770;Morning;Apple;
be2d17dd-9304-456c-ae07-bc147f5bea6b;Afternoon;Morning;
afbac51c-844a-4d3a-a3e3-5587daa3333a;Lemon;Kiwi;
1e25a7e2-a973-47fb-853e-bd3ae5cdf127;Kiwi;Tree;
125290f7-fda4-432e-9ace-1b1071fc2184;Grape;Apple;
3c234049-b9ad-4954-852e-a221f3ddc8ef;Apple;Afternoon;
dfa6507c-4394-43df-92bc-d75904400985;Banana;Afternoon;
c53e427f-ab14-42f5-a204-198ab62d15db;Tree;Honeydew;
607b8823-ed7d-40f1-9573-a123070b6e8b;Grape;Apple;
f48d7685-9d5c-4ce5-8525-2f0922c00803;Apple;Grape;
c8959ccc-ffdc-4ece-8ee5-7bb7eeeed5f2;Night;Kiwi;
72d760cd-862a-431f-a795-039159c7ec03;Honeydew;Evening;
b5f99483-03f9-461b-89ac-02f5b37aa8b3;Kiwi;Apple;
19384692-b69a-4801-ac37-8f4408db1c72;Evening;Evening;
114d49ba-cada-4411-98c9-65d6d077f0af;Banana;Evening;
875d6af6-f97f-4b7f-99e6-1e85e0844fc4;Kiwi;Honeydew;
188ec42c-02e1-4d57-9ad3-7ffc10c740ac;Apple;Night;
362ec87b-342c-44e9-bc2d-c159873a1cad;Tree;Tree;
c60dce45-660a-452e-b67e-74ab48b382ba;Grape;Lemon;
1ef1d153-76fd-4286-a37e-73f2259082cd;Morning;Kiwi;
605004a9-db5c-4699-b1a9-44f336905947;Kiwi;Tree;
3106a6c5-445f-46e3-97f9-dfa2f4f93f6a;Tree;Banana;
2dc5b978-d313-4cf0-944c-66d84222c5ff;Lemon;Lemon;
f8bb99c9-638e-4574-a696-2fba7b1dfaea;Banana;Kiwi;
d8a3cf64-4749-403b-b129-2193d45314ce;Afternoon;Honeydew;
a674896c-3ab0-41b0-b06e-e2c76a64a27c;Kiwi;Honeydew;
2943a75d-afdb-4e2f-a785-fa0f9ee81454;Evening;Apple;
3973d7d2-1a33-4e31-9606-51fce710ccf5;Apple;Banana;
ed5b2021-55ff-49c0-9e1b-00654bd55227;Tree;Apple;
464bfb8b-726f-455e-bba7-b23ad060ec72;Evening;Grape;
e6d15748-85be-4d80-b5b7-e1748d7f83cd;Grape;Apple;
558cadff-7889-41db-bda0-10adafa9fd77;Grape;Lemon;
3f2b92e5-dc81-4927-94fb-f9c37c42d71f;Grape;Tree;
8e642602-83bc-4903-84d2-feabcdab707b;Night;Lemon;
bdaaec15-8d69-4033-b535-bec8119cc94e;Tree;Night;
7fc2674a-f718-4d81-ba42-6129808c9710;Apple;Honeydew;
1ffbd78e-07db-42fd-a926-803edd6d1a3a;Afternoon;Grape;
3a197afd-309e-4ddb-864c-bafacef43c5a;Afternoon;Apple;
afccb216-2faf-4a8b-ab98-669858a1c4c9;Apple;Night;
d0fa314e-d486-40e8-b5b9-4ff54ef73c0f;Tree;Kiwi;
da113e01-296c-48ff-8371-87a32abc950d;Tree;Kiwi;
2bfb2b62-42e6-41ae-8758-1d2752d341cb;Honeydew;Morning;
b1e05553-f945-4803-85bb-b6f1c793b99e;Kiwi;Night;
b7b804ac-1fbb-4164-8823-5fbb887a8c57;Night;Night;
87d16384-8c76-4084-beb7-e55e510bf4bd;Morning;Banana;
1c0fe8a3-2cf6-4e1e-81db-ce46102f1222;Night;Morning;
55f97111-a13c-4550-8e59-8b0fa0e3b28b;Honeydew;Grape;
176433eb-c930-457a-bfe8-c2bc74c24710;Afternoon;Kiwi;
0ee7da36-6846-4600-a49c-71f81d0567db;Evening;Night;
e375a520-dd0e-42b9-a614-02125db28bea;Morning;Morning;
b4cee9fe-06d4-40a5-a768-dd0e21d29250;Banana;Tree;
6c0852d8-a5f5-4320-bb37-acb248b6128c;Apple;Evening;
54bd7f6e-20b1-41ea-bf9b-307e90a6915c;Morning;Grape;
b62a8e0e-a12e-4a99-9609-c7328a5e419b;Apple;Banana;
8b8e683a-44a3-4be7-b830-c040bdf2679d;Morning;Grape;
ecaa7419-5c3c-4e73-8f31-e4198c5e7eff;Honeydew;Honeydew;
94f185d2-f1a0-43fa-80e5-3e12a5f73634;Grape;Tree;
7271adb4-044a-412b-bb07-852dd88be282;Banana;Lemon;
b150eb18-c425-45a1-bc6d-c8d80a7a0de7;Night;Apple;
a4f4e050-64f9-46a8-9a06-af8e047c5383;Morning;Night;
d843fdca-2b7f-4e60-a8c0-57e5bff07082;Afternoon;Tree;
144955a3-6272-4261-860a-d684e0a59d81;Kiwi;Tree;
a1848ece-14d8-423a-8a39-0f07d80c7526;Honeydew;Night;
da2ab064-3ef2-4a89-aa52-cbd42f621479;Honeydew;Banana;
e41a685e-c87e-4e44-954c-7b299a92d6f4;Tree;Grape;
a9d7d7b7-e5c1-4dae-baf1-e62329b5b40d;Tree;Evening;
ac930e10-36b3-40d6-848e-780129e16e59;Banana;Kiwi;
e0497041-2d77-4708-8d34-8ed2bb8fd752;Evening;Tree;
1c73c310-202a-4f75-a2f4-3ee9274d6f1b;Grape;Tree;
9cc61f8d-6a7f-4c1b-bc54-56e1916dd993;Afternoon;Honeydew;
2eb82e20-e188-4bfb-b55b-ae8e612af218;Night;Lemon;
32b9318f-38dc-4e74-aed6-e091434cc267;Night;Honeydew;
98bbc5ea-b02c-4663-a8ad-932d373bc223;Night;Banana;
ae1832de-7d3e-47f6-9422-ffdbffed105c;Kiwi;Morning;
d9474e68-e160-4b90-91ff-38de31e24700;Banana;Night;
d7829cee-2c48-4f3c-9751-a982039e20b6;Afternoon;Honeydew;
5cfec362-53a0-409a-9aac-b21132a19fe0;Afternoon;Banana;
5aa562c0-6e17-43b8-bcf4-35bdbbf12486;Evening;Kiwi;
0c158389-d7a8-4f6e-9d73-3a24076ab6ae;Evening;Tree;
9c9c1748-41dd-4297-a957-328e9758c681;Tree;Night;
d276b545-b591-4da7-837b-f5fda8e79f78;Afternoon;Morning;
c0497af0-eff0-4731-a4f1-1dca60278c7b;Grape;Evening;
c76983d3-09c6-4ab5-bc5d-7ff50f9df653;Afternoon;Night;
fbcacbff-bfec-4a06-9085-e524f7025290;Honeydew;Tree;
468f0118-692c-4172-a495-c32151b016fb;Night;Morning;
1ee0b3bf-84ee-4bd1-9f35-258e68edb97c;Morning;Banana;
3831ca68-b149-495a-abd0-bea39f38af0e;Tree;Morning;
